Backbone,Method,N,Rel,Faith,Cov,Hit@5,CtxRel,ToolAcc,SRComp,FRR,FAR,Latency(s)
Gemini 2.5 Flash,standard_rag,1000,0.716,0.739,0.68,0.768,0.7022,,,0.175,0.12,3.785
Gemini 2.5 Flash,selfrag,1000,0.788,0.813,0.746,0.84,0.7744,0.706,0.698,0.115,0.087,5.744
Gemini 2.5 Flash,arda_sr,1000,0.871,0.855,0.845,0.878,0.812,0.878,0.821,0.04,0.056,6.4
Qwen/Qwen2.5-1.5B-Instruct,standard_rag,1000,0.665,0.69,0.64,0.724,0.658,,,0.235,,5.9
Qwen/Qwen2.5-1.5B-Instruct,selfrag,1000,0.735,0.755,0.7,0.791,0.725,0.642,0.632,0.158,,7.6
Qwen/Qwen2.5-1.5B-Instruct,arda_sr,1000,0.812,0.826,0.786,0.866,0.803,0.801,0.742,0.083,,8.9
microsoft/Phi-3-mini-4k-instruct,standard_rag,1000,0.69,0.712,0.662,0.748,0.684,,,0.215,,7.1
microsoft/Phi-3-mini-4k-instruct,selfrag,1000,0.758,0.778,0.724,0.816,0.748,0.671,0.655,0.14,,9.2
microsoft/Phi-3-mini-4k-instruct,arda_sr,1000,0.833,0.842,0.807,0.884,0.821,0.829,0.776,0.067,,10.8
